User ID,Rank for Bass Song 1: Bad Guy by Billie Eilish,Rank for Bass Song 2: God's plan by Drake,Rank for Bass Song 3: Bangarang by Skrillex,Rank for Midrange Song 1: Rolling in the deep by Adele,Rank for Midrange Song 2: Yellow by Coldplay,Rank for Midrange Song 3: Shape of you by Ed Sheeran,Rank for Treble Song 1: Symphony No. 40 by Mozart,Rank for Treble Song 2: Love Story by Taylor Swift,Rank for Treble Song 3: Billie Jean by Michael Jackson
543326084,9,9,9,9,9,2,5,7,8
543326084,7,5,8,4,3,2,1,6,9
